Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,MathScore,ReadingScore,WritingScore
female,group C,bachelor's degree,standard,none,57,63,59
female,group A,some high school,free/reduced,none,51,60,50
female,group C,some college,standard,none,83,86,89
male,group C,associate's degree,standard,completed,80,78,82
male,group D,some high school,free/reduced,none,70,59,56
male,group D,bachelor's degree,free/reduced,none,86,80,79
female,group B,associate's degree,standard,none,62,65,56
female,group A,associate's degree,standard,none,60,61,59
female,group E,some college,standard,none,50,48,51
male,group B,high school,standard,none,68,69,64
male,group B,high school,free/reduced,none,58,47,50
male,group C,high school,standard,none,62,63,56
female,group B,some high school,free/reduced,none,47,68,61
male,group E,associate's degree,standard,completed,83,85,84
female,group E,bachelor's degree,standard,none,81,77,75
female,group C,bachelor's degree,free/reduced,none,33,43,45
female,group C,bachelor's degree,standard,none,45,55,54
male,group D,high school,standard,none,68,67,66
female,group D,some high school,standard,none,64,70,74
male,group E,some college,standard,completed,73,75,70
male,group A,some college,standard,none,57,48,45
male,group D,bachelor's degree,free/reduced,none,86,76,70
male,group D,some college,free/reduced,none,51,61,62
female,group E,some high school,free/reduced,none,49,63,58
male,group E,high school,free/reduced,none,60,62,56
female,group D,high school,standard,none,65,55,61
male,group C,high school,free/reduced,completed,51,53,56
male,group E,some college,free/reduced,none,71,67,63
male,group D,some college,standard,none,71,61,56
female,group E,associate's degree,standard,none,72,71,74
female,group D,associate's degree,free/reduced,none,57,74,76
female,group C,master's degree,free/reduced,none,70,83,82
female,group C,some college,standard,none,45,60,57
male,group D,associate's degree,standard,none,75,69,69
female,group B,bachelor's degree,free/reduced,none,75,81,78
female,group B,bachelor's degree,standard,completed,71,86,93
male,group A,high school,free/reduced,completed,51,57,51
female,group C,high school,standard,completed,48,72,66
female,group D,master's degree,standard,completed,56,81,80
male,group C,high school,standard,none,50,48,44
male,group C,associate's degree,standard,none,51,49,47
female,group D,high school,standard,completed,54,77,70
male,group C,some college,standard,none,64,63,59
male,group D,some college,standard,none,77,67,62
female,group D,high school,standard,none,64,71,72
female,group C,high school,standard,completed,74,91,92
female,group C,some college,standard,none,67,78,72
male,group C,master's degree,standard,none,76,65,64
female,group B,associate's degree,free/reduced,completed,77,90,99
female,group B,some high school,standard,none,50,40,48
female,group B,bachelor's degree,standard,none,76,79,80
male,group B,associate's degree,standard,completed,68,71,70
female,group B,some high school,standard,none,79,79,78
male,group D,bachelor's degree,free/reduced,completed,76,82,78
male,group C,some high school,standard,none,62,50,43
female,group E,high school,standard,none,79,93,83
male,group E,high school,standard,none,83,82,65
male,group B,high school,free/reduced,none,68,62,60
male,group B,some high school,standard,completed,88,87,87
male,group A,some college,free/reduced,none,49,52,42
male,group A,associate's degree,standard,none,59,59,56
female,group B,some high school,standard,none,53,63,65
male,group E,some college,free/reduced,none,73,73,69
male,group E,high school,standard,none,78,67,65
male,group B,some college,standard,none,74,66,66
female,group D,some high school,standard,none,70,76,75
female,group C,high school,standard,completed,74,83,78
male,group D,some college,free/reduced,none,70,68,64
male,group C,some college,standard,none,84,86,79
female,group D,high school,standard,none,61,82,78
female,group D,some high school,standard,completed,83,88,96
female,group C,some college,standard,none,61,66,71
male,group B,associate's degree,standard,none,76,76,69
male,group D,some college,free/reduced,none,69,72,66
male,group C,high school,free/reduced,none,50,50,42
male,group C,some high school,standard,none,66,57,60
female,group D,master's degree,standard,none,75,77,79
male,group C,some high school,standard,completed,56,57,56
male,group E,some high school,standard,completed,83,74,66
male,group A,associate's degree,standard,none,64,58,57
female,group D,associate's degree,standard,none,70,74,81
female,group B,high school,standard,none,62,65,64
male,group E,high school,standard,none,90,80,77
female,group D,some high school,standard,completed,89,100,100
male,group A,some college,standard,completed,60,60,57
female,group D,associate's degree,standard,none,51,58,59
male,group D,master's degree,standard,completed,80,81,88
male,group A,some high school,standard,completed,72,73,76
female,group C,high school,free/reduced,completed,54,66,68
male,group E,some high school,standard,completed,91,96,91
female,group C,associate's degree,free/reduced,completed,54,62,65
female,group E,associate's degree,free/reduced,none,88,98,95
female,group E,associate's degree,free/reduced,none,82,84,86
male,group B,high school,free/reduced,none,82,76,69
female,group C,some high school,free/reduced,none,39,49,41
female,group C,some college,standard,completed,52,53,56
male,group D,some high school,standard,none,77,74,72
male,group C,some high school,free/reduced,completed,18,33,31
male,group C,some high school,standard,completed,70,67,73
female,group B,high school,standard,completed,62,76,69
female,group B,some college,free/reduced,completed,67,77,78
male,group B,associate's degree,standard,completed,68,73,72
male,group D,some high school,free/reduced,none,84,69,77
female,group E,some high school,free/reduced,completed,74,88,79
male,group B,some college,standard,none,86,87,78
female,group D,some high school,free/reduced,completed,43,63,62
female,group C,associate's degree,standard,none,89,92,91
male,group C,bachelor's degree,free/reduced,none,45,49,49
male,group D,some college,free/reduced,none,62,62,58
male,group C,some college,standard,none,92,84,79
female,group E,high school,standard,completed,85,83,80
male,group E,bachelor's degree,free/reduced,none,70,60,60
male,group D,master's degree,standard,none,73,65,64
male,group D,associate's degree,standard,completed,86,70,78
male,group D,high school,standard,none,74,59,57
female,group C,high school,free/reduced,completed,18,30,35
female,group B,high school,standard,completed,81,78,78
male,group B,some high school,standard,none,67,56,49
male,group D,some high school,standard,completed,81,77,82
male,group A,some college,free/reduced,none,70,71,70
female,group D,some high school,standard,completed,92,100,99
female,group D,bachelor's degree,standard,completed,68,84,85
male,group B,associate's degree,free/reduced,completed,64,63,58
male,group D,master's degree,free/reduced,completed,60,67,67
female,group C,some high school,standard,none,79,74,76
male,group B,associate's degree,standard,completed,84,85,88
male,group E,some college,standard,completed,75,61,62
female,group B,high school,free/reduced,completed,39,53,48
male,group C,associate's degree,standard,none,63,61,55
female,group A,some college,standard,none,46,60,58
female,group D,some high school,free/reduced,completed,53,68,68
female,group E,bachelor's degree,free/reduced,none,45,43,44
male,group B,associate's degree,standard,completed,81,78,84
male,group D,high school,free/reduced,none,47,39,35
male,group C,high school,free/reduced,none,58,55,51
male,group E,bachelor's degree,standard,none,77,61,64
male,group D,some college,standard,completed,100,94,94
male,group C,some high school,standard,none,77,70,62
female,group E,some college,free/reduced,none,68,84,77
female,group C,associate's degree,standard,none,62,71,74
female,group A,associate's degree,standard,completed,63,76,75
female,group B,high school,free/reduced,none,46,62,67
male,group E,associate's degree,standard,none,74,68,58
male,group B,some high school,standard,none,60,50,45
female,group B,some college,standard,none,60,66,60
male,group C,associate's degree,standard,completed,75,77,75
male,group B,associate's degree,free/reduced,none,72,59,62
male,group C,some college,standard,none,79,80,78
female,group C,associate's degree,standard,completed,98,100,100
female,group C,bachelor's degree,standard,none,87,92,90
male,group D,high school,free/reduced,none,42,39,36
male,group C,associate's degree,free/reduced,none,69,70,61
female,group D,some college,standard,none,79,85,84
male,group E,some college,standard,none,78,68,66
female,group D,associate's degree,free/reduced,none,52,51,58
male,group B,some college,free/reduced,completed,56,61,65
female,group B,associate's degree,standard,none,89,93,92
male,group D,associate's degree,standard,none,86,81,79
female,group C,high school,standard,none,53,65,61
male,group C,associate's degree,standard,completed,75,80,76
male,group D,high school,free/reduced,none,65,52,53
female,group E,some college,free/reduced,none,61,58,61
male,group C,some college,free/reduced,none,70,67,67
male,group E,bachelor's degree,standard,completed,86,79,84
female,group C,some college,standard,none,77,95,95
male,group C,some high school,free/reduced,completed,61,74,61
female,group B,some college,standard,none,79,84,85
male,group D,master's degree,standard,none,73,72,68
female,group C,some college,free/reduced,none,50,60,59
female,group A,associate's degree,standard,completed,64,67,73
male,group D,some high school,standard,none,80,80,83
male,group D,master's degree,standard,completed,74,88,89
female,group D,some high school,standard,completed,77,85,88
male,group C,high school,standard,completed,45,43,37
female,group B,some high school,standard,completed,79,89,87
male,group C,high school,free/reduced,none,61,59,55
female,group D,high school,standard,completed,41,48,52
female,group B,bachelor's degree,free/reduced,completed,65,64,70
male,group C,some college,standard,none,89,89,84
female,group E,master's degree,free/reduced,none,77,84,84
female,group D,some high school,free/reduced,none,55,72,74
male,group A,high school,standard,none,33,30,25
female,group C,master's degree,standard,none,66,73,71
female,group E,high school,standard,none,79,79,72
female,group D,high school,free/reduced,none,61,76,74
male,group D,high school,standard,none,57,57,57
female,group C,associate's degree,free/reduced,completed,71,85,80
male,group E,some high school,free/reduced,none,54,67,54
female,group D,some high school,free/reduced,none,63,72,72
female,group B,some high school,standard,completed,68,81,88
female,group C,high school,standard,none,68,73,64
male,group C,some college,standard,none,87,88,88
female,group C,associate's degree,free/reduced,none,49,55,56
male,group B,high school,standard,none,69,66,65
female,group A,high school,standard,none,72,80,76
male,group C,master's degree,free/reduced,completed,47,49,55
male,group E,associate's degree,standard,none,66,57,54
female,group B,some college,free/reduced,completed,48,59,57
female,group E,some college,free/reduced,none,51,67,57
female,group C,master's degree,free/reduced,none,44,44,52
male,group E,high school,standard,none,71,55,51
male,group B,high school,free/reduced,none,49,52,44
male,group B,some college,standard,none,79,65,66
female,group C,master's degree,standard,completed,93,93,100
male,group D,some high school,free/reduced,none,51,53,47
female,group D,some college,standard,none,63,74,71
male,group C,some high school,standard,none,71,72,68
male,group A,high school,standard,none,60,59,55
male,group E,high school,free/reduced,completed,71,78,73
female,group E,high school,standard,none,72,76,75
female,group C,associate's degree,free/reduced,none,43,51,50
male,group B,some high school,free/reduced,completed,74,79,75
male,group D,some college,standard,none,74,69,65
male,group C,associate's degree,standard,none,48,41,40
male,group D,some college,standard,completed,61,59,58
female,group E,some college,standard,none,97,100,100
male,group A,high school,standard,none,76,65,57
female,group D,some college,standard,completed,73,75,81
female,group E,associate's degree,standard,none,72,75,74
female,group D,master's degree,standard,completed,78,97,98
male,group C,associate's degree,free/reduced,none,75,72,70
male,group D,some high school,standard,none,49,48,44
female,group E,some high school,free/reduced,none,60,69,65
male,group D,some college,standard,none,57,69,59
male,group D,some high school,standard,completed,86,83,77
male,group A,associate's degree,free/reduced,none,68,63,58
female,group D,some high school,standard,completed,68,59,68
female,group A,some high school,standard,none,57,66,62
male,group C,bachelor's degree,free/reduced,none,52,50,48
male,group D,associate's degree,standard,completed,85,82,85
male,group D,high school,free/reduced,none,43,46,41
female,group D,some college,standard,none,40,45,47
female,group E,some high school,standard,none,63,72,74
male,group B,associate's degree,standard,none,67,65,60
male,group D,some college,free/reduced,none,51,60,55
female,group C,bachelor's degree,free/reduced,none,11,24,18
female,group E,some high school,standard,completed,85,87,86
female,group D,some college,free/reduced,completed,66,77,75
female,group B,associate's degree,standard,none,82,87,82
female,group E,high school,standard,none,79,86,88
male,group C,associate's degree,standard,none,75,78,78
female,group D,some college,free/reduced,none,33,37,38
male,group E,master's degree,free/reduced,none,77,68,67
female,group C,master's degree,standard,none,63,63,73
female,group A,high school,standard,none,43,47,39
female,group B,some high school,free/reduced,none,49,68,66
female,group B,associate's degree,standard,completed,71,80,84
female,group C,some college,standard,none,72,68,68
female,group B,associate's degree,standard,completed,50,64,63
male,group D,some high school,standard,completed,95,94,95
male,group C,some college,standard,none,82,70,71
female,group B,high school,standard,none,70,80,78
male,group C,associate's degree,free/reduced,none,59,61,52
female,group B,some high school,standard,completed,76,87,83
female,group C,some college,standard,completed,63,71,68
female,group C,associate's degree,standard,none,47,46,49
female,group E,associate's degree,standard,none,70,87,84
female,group E,some college,standard,completed,100,98,100
female,group C,high school,standard,none,62,71,68
female,group C,some college,free/reduced,none,57,78,68
female,group C,some college,standard,none,69,80,79
male,group A,associate's degree,standard,none,71,58,55
male,group B,associate's degree,standard,none,81,76,74
female,group B,some college,standard,none,60,70,70
female,group C,master's degree,free/reduced,none,44,65,62
female,group B,some high school,standard,none,51,62,53
female,group B,some college,free/reduced,none,74,78,81
male,group D,some college,standard,none,85,76,78
female,group D,associate's degree,standard,none,88,98,93
female,group B,associate's degree,standard,none,88,100,96
female,group E,high school,standard,none,66,79,70
male,group E,associate's degree,free/reduced,completed,71,77,69
male,group D,some high school,free/reduced,none,57,57,45
female,group C,some high school,free/reduced,none,48,60,53
male,group C,some college,free/reduced,none,45,45,44
female,group E,high school,free/reduced,none,63,75,70
female,group D,associate's degree,standard,none,71,80,76
female,group D,some high school,free/reduced,completed,62,86,88
female,group C,some high school,standard,completed,54,57,65
male,group B,associate's degree,standard,completed,76,80,76
male,group D,high school,standard,completed,84,75,78
male,group B,bachelor's degree,standard,none,80,71,69
male,group C,high school,free/reduced,none,56,49,39
female,group C,some high school,free/reduced,none,44,55,48
female,group E,some college,standard,none,45,50,49
male,group D,associate's degree,standard,none,95,88,88
male,group C,associate's degree,standard,completed,72,65,62
female,group D,high school,standard,completed,52,69,71
male,group E,some college,standard,none,91,88,82
male,group E,some college,free/reduced,none,86,83,77
female,group D,high school,standard,completed,85,89,88
male,group A,high school,standard,completed,65,66,65
female,group D,high school,standard,none,58,59,57
female,group C,high school,standard,none,66,76,77
male,group D,some college,free/reduced,completed,87,82,90
male,group D,high school,standard,none,51,50,44
female,group E,associate's degree,standard,completed,62,63,64
male,group E,some college,standard,completed,68,64,60
female,group A,bachelor's degree,standard,none,74,84,79
female,group C,bachelor's degree,standard,none,54,58,57
female,group A,some college,standard,completed,81,86,88
male,group D,associate's degree,free/reduced,none,48,59,51
male,group C,some high school,standard,none,70,62,49
male,group B,master's degree,standard,completed,66,65,64
female,group D,some high school,standard,completed,71,69,78
female,group A,some high school,free/reduced,completed,48,57,61
male,group D,associate's degree,free/reduced,none,42,37,34
male,group D,associate's degree,standard,completed,69,69,67
male,group E,some high school,standard,none,93,78,74
male,group D,some high school,standard,none,85,71,74
male,group D,some college,free/reduced,none,52,55,52
male,group A,some high school,standard,none,63,62,52
male,group E,high school,standard,none,81,73,65
male,group B,some high school,standard,none,61,70,61
female,group A,associate's degree,standard,none,74,66,65
male,group D,bachelor's degree,free/reduced,completed,51,51,52
female,group C,high school,free/reduced,none,54,65,66
female,group D,bachelor's degree,standard,none,91,94,99
male,group B,some high school,free/reduced,none,68,63,58
male,group D,some college,standard,none,90,85,85
male,group D,bachelor's degree,free/reduced,none,64,68,66
female,group C,associate's degree,free/reduced,none,35,42,42
male,group C,some college,free/reduced,completed,78,82,85
female,group B,some college,standard,completed,73,81,89
male,group B,some college,standard,none,62,67,60
female,group D,high school,standard,completed,42,59,64
male,group D,some college,standard,none,88,88,88
female,group B,some college,free/reduced,completed,54,67,74
male,group C,some high school,free/reduced,none,33,32,28
female,group A,associate's degree,free/reduced,completed,61,76,74
male,group D,high school,free/reduced,none,51,47,42
male,group A,some college,standard,completed,54,69,61
male,group D,some college,free/reduced,completed,80,79,80
female,group E,some high school,standard,none,75,80,80
female,group D,associate's degree,standard,none,85,99,96
female,group E,associate's degree,standard,completed,83,84,91
male,group D,some college,standard,completed,55,57,64
male,group B,bachelor's degree,standard,none,90,78,78
male,group D,some college,standard,none,96,91,86
male,group E,some college,standard,none,100,98,95
male,group C,some college,free/reduced,none,41,55,43
male,group D,high school,free/reduced,none,58,73,67
female,group B,associate's degree,standard,none,46,49,53
male,group C,some high school,standard,none,61,57,59
male,group D,associate's degree,standard,none,82,82,81
female,group B,associate's degree,standard,none,62,72,69
female,group B,associate's degree,standard,completed,92,100,100
male,group B,master's degree,standard,none,80,71,67
female,group D,some college,standard,completed,83,97,100
male,group D,some high school,standard,completed,62,61,54
female,group B,high school,standard,none,78,75,77
female,group D,high school,free/reduced,none,68,72,75
male,group E,associate's degree,free/reduced,completed,83,78,74
male,group A,bachelor's degree,standard,completed,87,78,88
female,group B,associate's degree,standard,none,81,75,80
male,group C,some high school,standard,completed,60,56,55
female,group D,master's degree,standard,completed,71,80,88
female,group C,some college,standard,completed,95,98,94
male,group C,bachelor's degree,standard,completed,66,60,57
male,group C,associate's degree,standard,none,63,56,51
male,group C,some high school,standard,none,53,34,41
female,group D,some college,free/reduced,completed,63,75,78
male,group B,some high school,standard,completed,55,55,59
female,group A,some college,standard,completed,55,68,70
female,group E,some high school,standard,completed,92,92,95
female,group B,high school,standard,none,76,84,83
male,group B,high school,standard,none,85,71,63
female,group A,some college,free/reduced,completed,56,76,75
male,group D,high school,standard,completed,50,57,53
male,group C,some college,standard,completed,76,64,71
female,group D,bachelor's degree,standard,none,90,87,81
male,group E,associate's degree,standard,none,52,45,36
female,group C,associate's degree,free/reduced,completed,67,78,78
male,group A,some college,standard,none,55,52,53
female,group B,associate's degree,standard,completed,80,100,98
male,group C,associate's degree,free/reduced,none,60,47,45
male,group E,bachelor's degree,standard,none,79,65,63
male,group E,some college,standard,completed,90,83,81
male,group D,master's degree,standard,none,90,91,86
female,group A,high school,standard,completed,56,58,61
female,group A,associate's degree,standard,none,59,64,69
male,group B,some college,standard,none,77,72,68
female,group D,some college,free/reduced,completed,48,66,65
female,group C,some high school,free/reduced,completed,44,54,57
female,group E,some high school,free/reduced,none,73,71,77
female,group D,some high school,standard,none,50,61,57
female,group A,some college,free/reduced,completed,76,85,87
male,group C,some college,standard,none,58,53,47
female,group A,high school,standard,none,77,88,79
male,group B,some high school,free/reduced,none,59,57,47
male,group C,some high school,free/reduced,none,54,41,43
male,group A,high school,free/reduced,completed,64,58,53
female,group B,associate's degree,standard,none,88,98,91
female,group D,some high school,standard,none,82,94,82
female,group C,associate's degree,standard,completed,72,80,78
male,group B,some high school,free/reduced,none,54,54,42
male,group C,some high school,free/reduced,none,53,57,53
male,group E,master's degree,free/reduced,completed,65,61,64
male,group E,high school,standard,none,76,73,72
male,group C,master's degree,free/reduced,none,72,66,70
male,group B,some high school,standard,none,43,41,35
male,group C,bachelor's degree,standard,completed,65,55,56
female,group B,associate's degree,standard,none,55,66,62
male,group D,some college,standard,none,68,58,64
male,group D,master's degree,standard,none,73,68,69
female,group C,master's degree,free/reduced,none,51,55,54
male,group D,some college,free/reduced,completed,63,64,70
female,group B,high school,standard,none,35,47,51
male,group C,some high school,free/reduced,none,75,73,67
male,group D,high school,standard,completed,90,86,88
male,group D,some college,free/reduced,none,50,56,54
male,group D,associate's degree,standard,none,94,83,83
male,group B,associate's degree,free/reduced,completed,62,65,63
male,group E,some high school,standard,completed,79,66,67
male,group C,bachelor's degree,standard,none,73,64,68
female,group C,high school,standard,completed,72,84,84
female,group B,some high school,standard,none,68,77,79
female,group B,bachelor's degree,standard,completed,90,85,93
female,group B,high school,free/reduced,none,46,59,55
male,group C,high school,free/reduced,none,47,51,41
female,group D,some college,standard,none,64,67,73
female,group C,associate's degree,free/reduced,none,46,62,62
male,group D,high school,free/reduced,none,78,72,69
female,group C,associate's degree,standard,none,68,78,71
male,group C,high school,standard,none,74,68,64
female,group E,high school,free/reduced,none,56,71,68
male,group D,some college,standard,completed,93,99,94
male,group B,some high school,free/reduced,completed,36,40,39
male,group C,associate's degree,standard,none,76,61,64
male,group D,some college,free/reduced,completed,32,37,37
male,group C,some college,standard,none,71,67,61
female,group E,associate's degree,standard,completed,77,83,84
female,group B,associate's degree,free/reduced,none,62,73,70
male,group C,high school,standard,none,66,60,51
male,group D,some college,free/reduced,completed,74,81,82
male,group C,high school,standard,completed,61,70,69
female,group D,high school,standard,none,78,78,82
female,group C,some college,standard,completed,75,82,84
male,group A,master's degree,free/reduced,none,69,67,56
male,group D,master's degree,standard,none,87,67,75
male,group A,associate's degree,standard,none,66,54,54
male,group D,high school,standard,none,68,60,56
female,group C,bachelor's degree,standard,completed,84,90,91
male,group D,associate's degree,free/reduced,none,69,67,67
male,group D,high school,standard,none,75,60,70
female,group B,some high school,free/reduced,none,64,78,74
male,group C,high school,standard,none,72,70,65
female,group B,high school,standard,completed,91,92,95
male,group C,associate's degree,standard,completed,87,95,87
female,group B,some high school,free/reduced,none,26,38,42
female,group D,some high school,standard,completed,65,87,82
female,group C,high school,free/reduced,none,51,61,57
female,group D,some high school,standard,completed,63,76,79
female,group D,some high school,standard,none,65,72,71
male,group D,high school,free/reduced,completed,59,61,58
female,group E,some college,standard,none,71,79,73
female,group B,some high school,free/reduced,none,43,55,51
male,group A,some high school,free/reduced,none,43,44,42
female,group B,high school,standard,none,82,92,88
male,group D,associate's degree,standard,none,85,85,84
female,group D,some college,free/reduced,completed,70,81,84
male,group C,master's degree,free/reduced,none,52,48,46
male,group C,some college,standard,none,72,68,61
female,group D,some college,standard,none,93,94,95
female,group E,associate's degree,standard,none,72,84,79
male,group C,associate's degree,free/reduced,none,56,52,41
female,group C,some college,standard,none,67,67,68
male,group E,some college,standard,none,56,46,45
female,group C,high school,standard,completed,53,68,67
female,group E,associate's degree,standard,completed,91,85,86
female,group A,high school,standard,none,44,59,54
male,group C,associate's degree,standard,none,100,88,85
male,group C,some college,standard,none,65,55,45
male,group C,associate's degree,standard,completed,69,75,70
male,group D,some college,standard,none,42,44,40
female,group E,some college,standard,none,86,87,83
female,group E,some high school,standard,completed,54,64,64
male,group C,some college,free/reduced,none,58,44,47
male,group E,some college,free/reduced,none,42,39,41
male,group D,some high school,standard,none,76,65,62
male,group B,high school,standard,none,56,55,49
female,group B,high school,standard,completed,77,84,81
female,group D,some college,standard,none,78,88,88
female,group D,high school,free/reduced,none,52,59,61
male,group C,some college,standard,completed,84,83,84
male,group D,high school,free/reduced,none,42,38,31
male,group C,bachelor's degree,standard,completed,71,78,75
female,group E,high school,free/reduced,completed,54,59,64
female,group C,some high school,free/reduced,none,35,47,49
female,group E,associate's degree,free/reduced,completed,56,54,63
male,group E,some high school,free/reduced,completed,77,60,60
female,group E,some college,standard,none,87,92,85
male,group D,bachelor's degree,standard,completed,65,59,67
male,group C,some college,standard,none,90,85,76
female,group B,master's degree,standard,none,85,81,80
female,group C,some college,free/reduced,completed,53,74,75
female,group D,bachelor's degree,free/reduced,completed,62,71,79
female,group B,some high school,standard,completed,69,92,85
male,group B,associate's degree,standard,completed,93,92,86
female,group D,some high school,standard,none,43,42,47
female,group D,bachelor's degree,standard,none,83,92,90
male,group C,some college,standard,none,61,62,57
female,group E,some high school,free/reduced,none,68,75,68
male,group E,bachelor's degree,standard,completed,100,92,100
female,group B,some college,free/reduced,completed,46,67,64
male,group E,some high school,standard,none,64,53,51
male,group D,some high school,standard,completed,86,85,84
male,group C,some college,standard,completed,86,79,78
female,group E,some high school,standard,none,62,63,60
male,group B,some high school,free/reduced,none,41,37,33
male,group E,high school,standard,completed,87,73,79
female,group D,master's degree,standard,none,75,84,81
female,group E,some college,standard,completed,80,70,79
male,group D,associate's degree,standard,none,94,87,88
female,group B,bachelor's degree,standard,completed,81,86,96
male,group D,high school,standard,completed,79,80,76
female,group C,associate's degree,standard,none,58,66,67
male,group E,associate's degree,standard,none,99,86,85
female,group C,some high school,free/reduced,none,39,55,51
female,group C,bachelor's degree,free/reduced,completed,79,98,94
male,group A,associate's degree,standard,none,80,70,69
male,group D,some high school,standard,none,72,72,68
male,group C,some high school,standard,none,82,72,73
female,group D,bachelor's degree,standard,none,66,77,81
female,group C,high school,standard,completed,71,76,75
female,group C,associate's degree,standard,completed,88,97,99
female,group E,high school,free/reduced,completed,62,71,68
female,group E,bachelor's degree,standard,completed,90,88,91
female,group D,bachelor's degree,standard,none,66,80,78
male,group C,associate's degree,free/reduced,completed,50,62,60
female,group B,some high school,standard,completed,67,74,73
female,group B,associate's degree,free/reduced,none,60,72,76
female,group B,associate's degree,standard,none,67,84,84
female,group D,some college,standard,none,48,59,61
male,group C,some college,standard,completed,75,79,73
female,group B,some high school,free/reduced,none,61,77,73
female,group E,some college,free/reduced,none,74,82,81
female,group B,high school,standard,completed,83,97,91
female,group E,some college,standard,none,77,75,73
female,group D,high school,standard,completed,71,82,87
female,group C,bachelor's degree,standard,none,69,73,75
male,group D,some college,free/reduced,none,57,55,54
male,group B,bachelor's degree,free/reduced,none,67,68,63
female,group D,some high school,standard,completed,61,70,73
male,group B,associate's degree,standard,completed,72,85,82
female,group A,some college,standard,none,62,65,64
female,group C,some high school,free/reduced,none,43,54,51
female,group B,some high school,standard,none,66,60,58
male,group D,high school,free/reduced,none,68,67,62
female,group D,bachelor's degree,standard,none,76,80,81
male,group C,bachelor's degree,standard,completed,60,66,67
male,group A,associate's degree,free/reduced,completed,61,62,61
female,group C,associate's degree,standard,none,69,74,73
male,group E,some high school,standard,none,72,72,67
female,group C,associate's degree,standard,none,66,70,69
female,group D,associate's degree,standard,none,55,67,67
male,group E,some college,standard,none,77,69,64
male,group E,bachelor's degree,standard,none,75,67,60
female,group B,some high school,standard,completed,86,93,90
male,group C,associate's degree,standard,none,63,62,57
male,group C,some college,standard,none,78,80,77
female,group C,some college,standard,none,68,77,76
male,group B,some high school,free/reduced,none,71,66,70
female,group D,some college,standard,none,84,99,98
male,group B,high school,standard,completed,72,81,77
male,group B,some high school,standard,none,58,54,52
female,group E,some college,standard,none,79,76,77
female,group C,high school,standard,none,71,75,78
male,group D,high school,standard,completed,98,89,89
female,group C,some high school,standard,none,70,81,78
female,group C,some college,free/reduced,none,69,88,82
male,group D,high school,standard,completed,92,87,88
male,group B,high school,standard,completed,67,58,60
female,group E,high school,free/reduced,none,72,84,78
female,group A,associate's degree,standard,none,76,90,92
female,group D,some college,standard,completed,65,68,71
female,group B,some high school,standard,none,84,86,87
female,group B,high school,free/reduced,completed,69,82,80
female,group C,some college,standard,completed,70,78,79
male,group D,high school,free/reduced,none,77,68,64
female,group D,some high school,standard,none,47,62,61
male,group D,associate's degree,standard,completed,85,86,85
female,group B,bachelor's degree,free/reduced,completed,56,68,69
female,group C,high school,standard,completed,60,71,71
male,group E,some high school,standard,none,82,76,64
female,group D,some high school,standard,completed,76,79,81
female,group B,bachelor's degree,free/reduced,none,71,82,85
female,group D,high school,standard,none,61,61,63
female,group C,some high school,free/reduced,none,39,55,55
male,group D,high school,standard,completed,78,65,67
female,group D,some college,free/reduced,none,74,83,85
female,group C,high school,standard,none,51,50,54
male,group E,associate's degree,free/reduced,none,59,60,57
male,group E,high school,standard,none,97,85,78
female,group C,some high school,standard,completed,56,72,73
female,group E,some college,standard,none,92,91,86
female,group D,some college,standard,completed,53,64,67
female,group C,some high school,free/reduced,none,32,37,30
female,group B,high school,standard,completed,43,66,62
female,group E,associate's degree,standard,none,78,75,72
male,group E,some college,standard,none,70,58,54
female,group B,associate's degree,free/reduced,none,72,84,79
female,group C,some college,standard,none,57,66,61
female,group E,high school,standard,completed,82,83,83
female,group D,associate's degree,free/reduced,none,60,74,70
male,group C,high school,standard,none,70,76,65
female,group D,associate's degree,free/reduced,none,77,86,77
male,group C,some college,free/reduced,none,65,73,68
female,group D,master's degree,standard,none,58,64,70
female,group D,some college,standard,completed,50,57,63
male,group B,some college,standard,none,79,80,80
male,group B,bachelor's degree,free/reduced,none,72,64,63
female,group B,some high school,standard,none,74,75,81
female,group C,bachelor's degree,free/reduced,none,75,95,87
male,group A,some high school,standard,none,67,65,65
female,group C,associate's degree,standard,none,79,86,89
female,group A,high school,standard,none,78,87,83
female,group D,some high school,standard,completed,64,80,85
female,group D,some high school,standard,none,86,89,89
male,group C,bachelor's degree,free/reduced,completed,64,72,77
male,group C,some high school,free/reduced,completed,76,69,69
female,group D,some high school,free/reduced,completed,57,80,83
female,group B,high school,standard,completed,72,86,85
female,group A,associate's degree,standard,completed,49,60,69
female,group B,some high school,standard,none,61,75,68
male,group D,high school,standard,none,89,76,73
female,group B,bachelor's degree,standard,none,58,68,69
female,group A,some college,standard,none,53,55,57
female,group B,master's degree,standard,none,64,84,78
female,group C,associate's degree,free/reduced,completed,90,97,100
female,group D,high school,free/reduced,none,49,62,66
female,group E,some college,free/reduced,none,51,56,60
female,group D,associate's degree,standard,completed,60,63,68
male,group C,some college,standard,completed,86,94,90
female,group E,bachelor's degree,standard,none,78,84,77
female,group A,associate's degree,standard,none,77,86,81
female,group E,some college,standard,completed,75,79,76
male,group D,some college,standard,completed,83,75,82
male,group A,high school,free/reduced,none,34,32,29
male,group A,some high school,standard,completed,85,91,89
male,group D,bachelor's degree,standard,completed,84,72,77
female,group A,some high school,standard,none,56,63,64
